#type; CAN
#base; CAN0 0x02504000
#base; CAN1 0x02504400
CAN_MSEL; 0x0000; CAN mode select register
CAN_CMD; 0x0004; CAN command register
CAN_STA; 0x0008; CAN status register
CAN_INT; 0x000C; CAN interrupt register
CAN_INTEN; 0x0010; CAN interrupt enable register
CAN_BUSTIME; 0x0014; CAN bus timing register
CAN_TEWL; 0x0018; CAN TX error warning limit register
CAN_ERRC; 0x001c; CAN error counter register
CAN_RMCNT; 0x0020; CAN receive message counter register
CAN_RBUF_SADDR; 0x0024; CAN receive buffer start address register
CAN_ACPC; 0x0028; CAN acceptance code 0 register(reset mode)
CAN_ACPM; 0x002C; CAN acceptance mask 0 register(reset mode)
CAN_TRBUF; 0x0040 13; CAN TX/RX message buffer N (n=0..12) register
CAN_RBUF_RBACK; 0x0180 0x30; CAN transmit buffer for read back register (0x0180 ~0x1b0)
CAN_VERSION; 0x0300; CAN Version Register
