#type CSIC_TOP
CSIC_TOP_EN_REG; 0x0000; CSIC TOP Enable Register
CSIC_PTN_GEN_EN_REG; 0x0004; CSIC Pattern Generation Enable Register
CSIC_PTN_CTRL_REG; 0x0008; CSIC Pattern Control Register
CSIC_PTN_LEN_REG; 0x0020; CSIC Pattern Generation Length Register
CSIC_PTN_ADDR_REG; 0x0024; CSIC Pattern Generation Address Register
CSIC_PTN_ISP_SIZE_REG; 0x0028; CSIC Pattern ISP Size Register
CSIC_DMA0_INPUT_SEL_REG; 0x00A0; CSIC DMA0 Input Select Register
CSIC_DMA1_INPUT_SEL_REG; 0x00A4; CSIC DMA1 Input Select Register
CSIC_BIST_CS_REG; 0x00DC; CSIC BIST CS Register
CSIC_BIST_CONTROL_REG; 0x00E0; CSIC BIST Control Register
CSIC_BIST_START_REG; 0x00E4; CSIC BIST Start Register
CSIC_BIST_END_REG; 0x00E8; CSIC BIST End Register
CSIC_BIST_DATA_MASK_REG; 0x00EC; CSIC BIST Data Mask Register
CSIC_MBUS_REQ_MAX_REG; 0x00F0; CSIC MBUS REQ MAX Register
CSIC_MULF_MOD_REG; 0x0100; CSIC Multi-Frame Mode Register
CSIC_MULF_INT_REG; 0x0104; CSIC Multi-Frame Interrupt Register
