#type; DMIC
#base; DMIC 0x02031000
DMIC_EN; 0x0000; DMIC Enable Control Register
DMIC_SR; 0x0004; DMIC Sample Rate Register
DMIC_CTR; 0x0008; DMIC Control Register
DMIC_DATA; 0x0010; DMIC Data Register
DMIC_INTC; 0x0014; MIC Interrupt Control Register
DMIC_INTS; 0x0018; DMIC Interrupt Status Register
DMIC_RXFIFO_CTR; 0x001C; DMIC RXFIFO Control Register
DMIC_RXFIFO_STA; 0x0020; DMIC RXFIFO Status Register
DMIC_CH_NUM; 0x0024; DMIC Channel Numbers Register
DMIC_CH_MAP; 0x0028; DMIC Channel Mapping Register
DMIC_CNT; 0x002C; DMIC Counter Register
DATA0_DATA1_VOL_CTR; 0x0030; Data0 and Data1 Volume Control Register
DATA2_DATA3_VOL_CTR; 0x0034; Data2 And Data3 Volume Control Register
HPF_EN_CTR; 0x0038; High Pass Filter Enable Control Register
HPF_COEF_REG; 0x003C; High Pass Filter Coefficient Register
HPF_GAIN_REG; 0x0040; High Pass Filter Gain Register
