#type; G2D_VSU
#base; G2D_VSU 0x05418000
#comment; 5.12.3 Video Scaler Register - List Allwinner_DE2.0_Spec_V1.0.pdf
#comment; have different layout
#comment Also see 5.7 DE UIS Specification
VS_CTRL; 0x000; VS_CTRL
VS_OUT_SIZE; 0x040; VS_OUT_SIZE
VS_GLB_ALPHA; 0x044; VS_GLB_ALPHA
VS_Y_SIZE; 0x080; VS_Y_SIZE
VS_Y_HSTEP; 0x088; VS_Y_HSTEP
VS_Y_VSTEP; 0x08C; VS_Y_VSTEP
VS_Y_HPHASE; 0x090; VS_Y_HPHASE
VS_Y_VPHASE0; 0x098; VS_Y_VPHASE0
VS_C_SIZE; 0x0C0; VS_C_SIZE
VS_C_HSTEP; 0x0C8; VS_C_HSTEP
VS_C_VSTEP; 0x0CC; VS_C_VSTEP
VS_C_HPHASE; 0x0D0; VS_C_HPHASE
VS_C_VPHASE0; 0x0D8; VS_C_VPHASE0
VS_Y_HCOEF; 0x200 64; VS_Y_HCOEF[N]. N=0..31
VS_Y_VCOEF; 0x300 64; VS_Y_VCOEF[N]. N=0..31
VS_C_HCOEF; 0x400 64; VS_C_HCOEF[N]. N=0..31
