#type LEDC
LEDC_CTRL_REG; 0x0000; LEDC Control Register
LED_T01_TIMING_CTRL_REG; 0x0004; LEDC T0 & T1 Timing Control Register
LEDC_DATA_FINISH_CNT_REG; 0x0008; LEDC Data Finish Counter Register
LED_RESET_TIMING_CTRL_REG; 0x000C; LEDC Reset Timing Control Register
LEDC_WAIT_TIME0_CTRL_REG; 0x0010; LEDC Wait Time0 Control Register
LEDC_DATA_REG; 0x0014; LEDC Data Register
LEDC_DMA_CTRL_REG; 0x0018; LEDC DMA Control Register
LEDC_INT_CTRL_REG; 0x001C; LEDC Interrupt Control Register
LEDC_INT_STS_REG; 0x0020; LEDC Interrupt Status Register
LEDC_WAIT_TIME1_CTRL_REG; 0x0028; LEDC Wait Time1 Control Register
LEDC_FIFO_DATA_REG; 0x0030 32; LEDC FIFO Data Registers array
