#type OWA
#base OWA 0x02036000
#irq OWA 55
#irqrv OWA 39
OWA_GEN_CTL; 0x0000; OWA General Control Register
OWA_TX_CFIG; 0x0004; OWA TX Configuration Register
OWA_RX_CFIG; 0x0008; OWA RX Configuration Register
OWA_ISTA; 0x000C; OWA Interrupt Status Register
OWA_RXFIFO; 0x0010; OWA RXFIFO Register
OWA_FCTL; 0x0014; OWA FIFO Control Register
OWA_FSTA; 0x0018; OWA FIFO Status Register
OWA_INT; 0x001C; OWA Interrupt Control Register
OWA_TX_FIFO; 0x0020; OWA TX FIFO Register
OWA_TX_CNT; 0x0024; OWA TX Counter Register
OWA_RX_CNT; 0x0028; OWA RX Counter Register
OWA_TX_CHSTA0; 0x002C; OWA TX Channel Status Register0
OWA_TX_CHSTA1; 0x0030; OWA TX Channel Status Register1
OWA_RXCHSTA0; 0x0034; OWA RX Channel Status Register0
OWA_RXCHSTA1; 0x0038; OWA RX Channel Status Register1
OWA_EXP_CTL; 0x0040; OWA Expand Control Register
OWA_EXP_ISTA; 0x0044; OWA Expand Interrupt Status Register
OWA_EXP_INFO_0; 0x0048; OWA Expand Infomation Register0
OWA_EXP_INFO_1; 0x004C; OWA Expand Infomation Register1
OWA_EXP_DBG_0; 0x0050; OWA Expand Debug Register0
OWA_EXP_DBG_1; 0x0054; OWA Expand Debug Register1
