#type; PWM
PIER; 0x0000; PWM IRQ Enable Register
PISR; 0x0004; PWM IRQ Status Register
CIER; 0x0010; Capture IRQ Enable Register
CISR; 0x0014; Capture IRQ Status Register
PCCR; 0x0020 4; PWM01, PWM23, PWM45, PWM67 Clock Configuration Register
PCGR; 0x0040; PWM Clock Gating Register
PDZCR; 0x0060 4; PWM01, PWM23, PWM45, PWM67 Dead Zone Control Register
PER; 0x0080; PWM Enable Register
PGR0; 0x0090 4; PWM Group0, Group1, Group2, Group3 Register
CER; 0x00C0; Capture Enable Register
CH 0x0020 PWM_CH_TypeDef; 0x0100 8; Channels[0..7]
