#type SPI_DBI
SPI_GCR; 0x0004; SPI Global Control Register
SPI_TCR; 0x0008; SPI Transfer Control Register
SPI_IER; 0x0010; SPI Interrupt Control Register
SPI_ISR; 0x0014; SPI Interrupt Status Register
SPI_FCR; 0x0018; SPI FIFO Control Register
SPI_FSR; 0x001C; SPI FIFO Status Register
SPI_WCR; 0x0020; SPI Wait Clock Register
SPI_SAMP_DL; 0x0028; SPI Sample Delay Control Register
SPI_MBC; 0x0030; SPI Master Burst Counter Register
SPI_MTC; 0x0034; SPI Master Transmit Counter Register
SPI_BCC; 0x0038; SPI Master Burst Control Register
SPI_BATCR; 0x0040; SPI Bit-Aligned Transfer Configure Register
SPI_BA_CCR; 0x0044; SPI Bit-Aligned Clock Configuration Register
SPI_TBR; 0x0048; SPI TX Bit Register
SPI_RBR; 0x004C; SPI RX Bit Register
SPI_NDMA_MODE_CTL; 0x0088; SPI Normal DMA Mode Control Register
DBI_CTL_0; 0x0100; DBI Control Register 0
DBI_CTL_1; 0x0104; DBI Control Register 1
DBI_CTL_2; 0x0108; DBI Control Register 2
DBI_TIMER; 0x010C; DBI Timer Control Register
DBI_VIDEO_SZIE; 0x0110; DBI Video Size Configuration Register
DBI_INT; 0x0120; DBI Interrupt Register
DBI_DEBUG_0; 0x0124; DBI BEBUG 0 Register
DBI_DEBUG_1; 0x0128; DBI BEBUG 1 Register
SPI_TXD; 0x0200; SPI TX Data register
SPI_RXD; 0x0300; SPI RX Data register
