#type; TIMER
#base; TIMER 0x02050000
TMR_IRQ_EN_REG; 0x0000; Timer IRQ Enable Register
TMR_IRQ_STA_REG; 0x0004; Timer Status Register
TMR0_CTRL_REG; 0x0010; Timer0 Control Register
TMR0_INTV_VALUE_REG; 0x0014; Timer0 Interval Value Register
TMR0_CUR_VALUE_REG; 0x0018; Timer0 Current Value Register
TMR1_CTRL_REG; 0x0020; Timer1 Control Register
TMR1_INTV_VALUE_REG; 0x0024; Timer1 Interval Value Register
TMR1_CUR_VALUE_REG; 0x0028; Timer1 Current Value Register
WDOG_IRQ_EN_REG; 0x00A0; Watchdog IRQ Enable Register
WDOG_IRQ_STA_REG; 0x00A4; Watchdog Status Register
WDOG_SOFT_RST_REG; 0x00A8; Watchdog Software Reset Register
WDOG_CTRL_REG; 0x00B0; Watchdog Control Register
WDOG_CFG_REG; 0x00B4; Watchdog Configuration Register
WDOG_MODE_REG; 0x00B8; Watchdog Mode Register
WDOG_OUTPUT_CFG_REG; 0x00BC; Watchdog Output Configuration Register
AVS_CNT_CTL_REG; 0x00C0; AVS Control Register
AVS_CNT0_REG; 0x00C4; AVS Counter 0 Register
AVS_CNT1_REG; 0x00C8; AVS Counter 1 Register
AVS_CNT_DIV_REG; 0x00CC; AVS Divisor Register
