#type; TVE
TVE_000_REG; 0x0000; TV Encoder Clock Gating Register
TVE_004_REG; 0x0004; TV Encoder Configuration Register
TVE_008_REG; 0x0008; TV Encoder DAC Register1
TVE_00C_REG; 0x000C; TV Encoder Notch and DAC Delay Register
TVE_010_REG; 0x0010; TV Encoder Chroma Frequency Register
TVE_014_REG; 0x0014; TV Encoder Front/Back Porch Register
TVE_018_REG; 0x0018; TV Encoder HD Mode VSYNC Register
TVE_01C_REG; 0x001C; TV Encoder Line Number Register
TVE_020_REG; 0x0020; TV Encoder Level Register
TVE_024_REG; 0x0024; TV Encoder DAC Register2
TVE_030_REG; 0x0030; TV Encoder Auto Detection Enable Register
TVE_034_REG; 0x0034; TV Encoder Auto Detection Interrupt Status Register
TVE_038_REG; 0x0038; TV Encoder Auto Detection Status Register
TVE_03C_REG; 0x003C; TV Encoder Auto Detection De-bounce Setting Register
TVE_0F8_REG; 0x00F8; TV Encoder Auto Detect Configuration Register0
TVE_0FC_REG; 0x00FC; TV Encoder Auto Detect Configuration Register1
TVE_100_REG; 0x0100; TV Encoder Color Burst Phase Reset Configuration Register
TVE_104_REG; 0x0104; TV Encoder VSYNC Number Register
TVE_108_REG; 0x0108; TV Encoder Notch Filter Frequency Register
TVE_10C_REG; 0x010C; TV Encoder Cb/Cr Level/Gain Register
TVE_110_REG; 0x0110; TV Encoder Tint and Color Burst Phase Register
TVE_114_REG; 0x0114; TV Encoder Burst Width Register
TVE_118_REG; 0x0118; TV Encoder Cb/Cr Gain Register
TVE_11C_REG; 0x011C; TV Encoder Sync and VBI Level Register
TVE_120_REG; 0x0120; TV Encoder White Level Register
TVE_124_REG; 0x0124; TV Encoder Video Active Line Register
TVE_128_REG; 0x0128; TV Encoder Video Chroma BW and CompGain Register
TVE_12C_REG; 0x012C; TV Encoder Register
TVE_130_REG; 0x0130; TV Encoder Re-sync Parameters Register
TVE_134_REG; 0x0134; TV Encoder Slave Parameter Register
TVE_138_REG; 0x0138; TV Encoder Configuration Register0
TVE_13C_REG; 0x013C; TV Encoder Configuration Register1
TVE_380_REG; 0x0380; TV Encoder Low Pass Control Register
TVE_384_REG; 0x0384; TV Encoder Low Pass Filter Control Register
TVE_388_REG; 0x0388; TV Encoder Low Pass Gain Register
TVE_38C_REG; 0x038C; TV Encoder Low Pass Gain Control Register
TVE_390_REG; 0x0390; TV Encoder Low Pass Shoot Control Register
TVE_394_REG; 0x0394; TV Encoder Low Pass Coring Register
TVE_3A0_REG; 0x03A0; TV Encoder Noise Reduction Register
