#type USB_EHCI_Capability
##base USBEHCI0 0x04101000
##base USBEHCI1 0x04200000
HCCAPBASE; 0x0000; EHCI Capability Register (HCIVERSION and CAPLENGTH) register
HCSPARAMS; 0x0004; EHCI Host Control Structural Parameter Register
HCCPARAMS; 0x0008; EHCI Host Control Capability Parameter Register
HCSPPORTROUTE; 0x000C; EHCI Companion Port Route Description
USBCMD; 0x0010; EHCI USB Command Register
USBSTS; 0x0014; EHCI USB Status Register
USBINTR; 0x0018; EHCI USB Interrupt Enable Register
FRINDEX; 0x001C; EHCI USB Frame Index Register
CTRLDSSEGMENT; 0x0020; EHCI 4G Segment Selector Register
PERIODICLISTBASE; 0x0024; EHCI Frame List Base Address Register
ASYNCLISTADDR; 0x0028; EHCI Next Asynchronous List Address Register
