#type USBEHCI
E_CAPLENGTH 2; 0x0000; EHCI Capability Register Length Register
E_HCIVERSION 2; 0x0002; EHCI Host Interface Version Number Register
E_HCSPARAMS; 0x0004; EHCI Host Control Structural Parameter Register
E_HCCPARAMS; 0x0008; EHCI Host Control Capability Parameter Register
E_HCSPPORTROUTE; 0x000C; EHCI Companion Port Route Description
E_USBCMD; 0x0010; EHCI USB Command Register
E_USBSTS; 0x0014; EHCI USB Status Register
E_USBINTR; 0x0018; EHCI USB Interrupt Enable Register
E_FRINDEX; 0x001C; EHCI USB Frame Index Register
E_CTRLDSSEGMENT; 0x0020; EHCI 4G Segment Selector Register
E_PERIODICLISTBASE; 0x0024; EHCI Frame List Base Address Register
E_ASYNCLISTADDR; 0x0028; EHCI Next Asynchronous List Address Register
E_CONFIGFLAG; 0x0050; EHCI Configured Flag Register
E_PORTSC; 0x0054; EHCI Port Status/Control Register
O_HcRevision; 0x0400; OHCI Revision Register (not documented)
O_HcControl; 0x0404; OHCI Control Register
O_HcCommandStatus; 0x0408; OHCI Command Status Register
O_HcInterruptStatus; 0x040C; OHCI Interrupt Status Register
O_HcInterruptEnable; 0x0410; OHCI Interrupt Enable Register
O_HcInterruptDisable; 0x0414; OHCI Interrupt Disable Register
O_HcHCCA; 0x0418; OHCI HCCA Base
O_HcPeriodCurrentED; 0x041C; OHCI Period Current ED Base
O_HcControlHeadED; 0x0420; OHCI Control Head ED Base
O_HcControlCurrentED; 0x0424; OHCI Control Current ED Base
O_HcBulkHeadED; 0x0428; OHCI Bulk Head ED Base
O_HcBulkCurrentED; 0x042C; OHCI Bulk Current ED Base
O_HcDoneHead; 0x0430; OHCI Done Head Base
O_HcFmInterval; 0x0434; OHCI Frame Interval Register
O_HcFmRemaining; 0x0438; OHCI Frame Remaining Register
O_HcFmNumber; 0x043C; OHCI Frame Number Register
O_HcPerioddicStart; 0x0440; OHCI Periodic Start Register
O_HcLSThreshold; 0x0444; OHCI LS Threshold Register
O_HcRhDescriptorA; 0x0448; OHCI Root Hub Descriptor Register A
O_HcRhDesriptorB; 0x044C; OHCI Root Hub Descriptor Register B
O_HcRhStatus; 0x0450; OHCI Root Hub Status Register
O_HcRhPortStatus; 0x0454; OHCI Root Hub Port Status Register
