#type USBOTG
USB_EPFIFO; 0x0000 6; USB_EPFIFO [0..5]
USB_POWER 1; 0x0040; USB_POWER
USB_DEVCTL 1; 0x0041; USB_DEVCTL
USB_EPINDEX 1; 0x0042; USB_EPINDEX
USB_DMACTL 1; 0x0043; USB_DMACTL
USB_INTTX 2; 0x0044; USB_INTTX
USB_INTRX 2; 0x0046; USB_INTRX
USB_INTTXE 2; 0x0048; USB_INTTXE
USB_INTRXE 2; 0x004a; USB_INTRXE
USB_INTUSB; 0x004c; USB_INTUSB
USB_INTUSBE; 0x0050; USB_INTUSBE
USB_FRAME 2; 0x0054; USB_FRAME
USB_TESTMODE 1; 0x007c; USB_TESTMODE
USB_FSM 1; 0x007e; USB_FSM
USB_TXMAXP 2; 0x0080; USB_TXMAXP
USB_CSR0 2; 0x0082; [15:8]: USB_TXCSRH, [7:0]: USB_TXCSRL
USB_RXMAXP 2; 0x0084; USB_RXMAXP
USB_RXCSR 2; 0x0086; USB_RXCSR
USB_RXCOUNT 2; 0x0088; USB_RXCOUNT
USB_RXPKTCNT 2; 0x008a; USB_RXPKTCNT
USB_TXTI 1; 0x008c; USB_TXTI
USB_TXNAKLIMIT 1; 0x008d; USB_TXNAKLIMIT
USB_RXTI 1; 0x008e; USB_RXTI
USB_RXNAKLIMIT 1; 0x008f; USB_RXNAKLIMIT
USB_TXFIFOSZ 2; 0x0090; USB_TXFIFOSZ
USB_TXFIFOADD 2; 0x0092; USB_TXFIFOADD
USB_RXFIFOSZ 2; 0x0094; USB_RXFIFOSZ
USB_RXFIFOADD 2; 0x0096; USB_RXFIFOADD
FIFO 8 USBOTGFIFO_TypeDef; 0x0098 6; FIFOs [0..5]
USB_ISCR; 0x400; HCI Interface Register (HCI_Interface)
USBPHY_PHYCTL; 0x404; USBPHY_PHYCTL
HCI_CTRL3; 0x408; HCI Control 3 Register (bist)
PHY_CTRL; 0x410; PHY Control Register (PHY_Control)
PHY_OTGCTL; 0x420; Control PHY routing to EHCI or OTG
PHY_STATUS; 0x424; PHY Status Register
USB_SPDCR; 0x428; HCI SIE Port Disable Control Register
