#type THS
THS_CTRL; 0x0000; THS Control Register
THS_EN; 0x0004; THS Enable Register
THS_PER; 0x0008; THS Period Control Register
THS_DATA_INTC; 0x0010; THS Data Interrupt Control Register
THS_SHUT_INTC; 0x0014; THS Shut Interrupt Control Register
THS_ALARM_INTC; 0x0018; THS Alarm Interrupt Control Register
THS_DATA_INTS; 0x0020; THS Data Interrupt Status Register
THS_SHUT_INTS; 0x0024; THS Shut Interrupt Status Register
THS_ALARMO_INTS; 0x0028; THS Alarm off Interrupt Status Register
THS_ALARM_INTS; 0x002C; THS Alarm Interrupt Status Register
THS_FILTER; 0x0030; THS Median Filter Control Register
THS_ALARM_CTRL; 0x0040; THS Alarm Threshold Control Register
THS_SHUTDOWN_CTRL; 0x0080; THS Shutdown Threshold Control Register
THS_CDATA; 0x00A0; THS Calibration Data
THS_DATA; 0x00C0; THS Data Register
