#type CIR_TX
CIR_TGLR; 0x0000; CIR Transmit Global Register
CIR_TMCR; 0x0004; CIR Transmit Modulation Control Register
CIR_TCR; 0x0008; CIR Transmit Control Register
CIR_IDC_H; 0x000C; CIR Transmit Idle Duration Threshold High Bit Register
CIR_IDC_L; 0x0010; CIR Transmit Idle Duration Threshold Low Bit Register
CIR_TICR_H; 0x0014; CIR Transmit Idle Counter High Bit Register
CIR_TICR_L; 0x0018; CIR Transmit Idle Counter Low Bit Register
CIR_TEL; 0x0020; CIR TX FIFO Empty Level Register
CIR_TXINT; 0x0024; CIR Transmit Interrupt Control Register
CIR_TAC; 0x0028; CIR Transmit FIFO Available Counter Register
CIR_TXSTA; 0x002C; CIR Transmit Status Register
CIR_TXT; 0x0030; CIR Transmit Threshold Register
CIR_DMA; 0x0034; CIR DMA Control Register
CIR_TXFIFO; 0x0080; CIR Transmit FIFO Data Register
